INSTITUCION OFERTANTE,PROFESION,SEDE DE ADJUDICACION,N° PLAZAS,DIRESA GERESA DIRIS,INSTITUCION,DEPARTAMENTO,PROVINCIA,DISTRITO,GRADO DE DIFICULTAD,CODIGO RENIPRESS,NOMBRE DE ESTABLECIMIENTO,CATEGORIA,PRESUPUESTO,ZAF (*),ZE (**)
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,BAGUA,ARAMANGO,GD-4,00005056,EL MUYO,I-3,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,BAGUA,ARAMANGO,GD-4,00005059,TUTUMBEROS,I-2,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,BAGUA,BAGUA,GD-2,00007276,LA PRIMAVERA,I-2,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,BAGUA,IMAZA,GD-5,00005070,IMAZA,I-3,REGIONAL,SI,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,BAGUA,IMAZA,GD-5,00005089,WAWAS,I-2,REGIONAL,SI,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,BONGARA,YAMBRASBAMB A,GD-4,00004936,PROGRESO,I-2,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,CHACHAPOYAS,CHILIQUIN,GD-4,00004879,VITUYA,I-2,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,CHACHAPOYAS,QUINJALCA,GD-4,00004872,QUINJALCA,I-2,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,CONDORCANQU I,RIO SANTIAGO,GD-5,00005175,GALILEA,I-3,REGIONAL,SI,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,LUYA,CAMPORREDON DO,GD-4,00004873,CAMPORREDOND O,I-3,REGIONAL,SI,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,LUYA,CAMPORREDON DO,GD-5,00004874,COCOCHO,I-3,REGIONAL,SI,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,LUYA,OCUMAL,GD-5,00004844,SAN JUAN DE OCUMAL,I-2,REGIONAL,SI,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,LUYA,SANTA CATALINA,GD-5,00004913,SALAZAR,I-3,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,LUYA,TRITA,GD-5,00004855,TRITA,I-1,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,GD-4,00004947,NUEVO CHIRIMOTO,I-3,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,GD-4,00007054,EL DORADO,I-2,REGIONAL,SI,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,GD-3,00005126,MIRAFLORES,I-3,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,UTCUBAMBA,JAMALCA,GD-3,00005139,JAMALCA,I-3,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,UTCUBAMBA,YAMON,GD-4,00005117,EL PALTO,I-3,REGIONAL,SI,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,ANTONIO RAIMONDI,ACZO,GD-5,00001839,PUESTO DE SALUD UCHUPATA,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,ANTONIO RAIMONDI,MIRGAS,GD-5,00001852,PUESTO DE SALUD MIRGAS,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,BOLOGNESI,CAJACAY,GD-2,00001484,CENTRO DE SALUD CAJACAY,I-3,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,CARHUAZ,ATAQUERO,GD-4,00001522,PUESTO DE SALUD ATAQUERO,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,CARHUAZ,CARHUAZ,GD-3,00007267,PUESTO DE SALUD HUALCAN,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,CARHUAZ,CARHUAZ,GD-4,00001517,PUESTO DE SALUD MAYA,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,GD-5,00001539,PUESTO DE SALUD SAN MIGUEL DE ACO,I-1,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,GD-5,00001865,PUESTO DE SALUD LLAMACA,I-1,REGIONAL,SI,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,CASMA,BUENA VISTA ALTA,GD-3,00001724,PUESTO DE SALUD HUANCHUY,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARAZ,HUARAZ,GD-2,00001546,PUESTO DE SALUD SAN NICOLAS,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARAZ,LA LIBERTAD,GD-4,00001583,PUESTO DE SALUD CAJAMARQUILLA,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARAZ,PAMPAS GRANDE,GD-4,00001584,PUESTO DE SALUD PAMPAS GRANDE,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARI,CHAVIN DE HUANTAR,GD-5,00001826,PUESTO DE SALUD CHICHUCANCHA,I-1,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARI,RAPAYAN,GD-4,00001845,PUESTO DE SALUD RAPAYAN,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARI,SAN PEDRO DE CHANA,GD-5,00001837,PUESTO DE SALUD SAN PEDRO DE CHANA,I-1,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARMEY,HUARMEY,GD-3,00001751,PUESTO DE SALUD HUAMBA,I-1,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUAYLAS,CARAZ,GD-4,00001589,PUESTO DE SALUD LLACSHU,I-1,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUAYLAS,YURACMARCA,GD-5,00001601,PUESTO DE SALUD QUITARACZA,I-1,REGIONAL,SI,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,MARISCAL LUZURIAGA,CASCA,GD-5,00001785,PUESTO DE SALUD CASCA,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,GD-5,00001793,PUESTO DE SALUD SANASHGAN,I-1,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,MARISCAL LUZURIAGA,LLUMPA,GD-5,00001789,PUESTO DE SALUD LLUMPA,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,MARISCAL LUZURIAGA,LLUMPA,GD-5,00001650,PUESTO DE SALUD YURMA,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,PALLASCA,CABANA,GD-4,00001684,CENTRO DE SALUD CABANA,I-3,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,PALLASCA,CONCHUCOS,GD-5,00001691,PUESTO DE SALUD CHALAN,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,PALLASCA,CONCHUCOS,GD-5,00001690,PUESTO DE SALUD HUATAULLO,I-2,REGIONAL,SI,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,PALLASCA,TAUCA,GD-5,00001700,PUESTO DE SALUD TAUCA,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,POMABAMBA,PAROBAMBA,GD-5,00001779,PUESTO DE SALUD CAJAS,I-1,REGIONAL,SI,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,POMABAMBA,PAROBAMBA,GD-5,00001777,PUESTO DE SALUD HUANCHAYLLO,I-2,REGIONAL,SI,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,POMABAMBA,QUINUABAMBA,GD-5,00001782,YAMIAN,I-1,REGIONAL,SI,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,RECUAY,LLACLLIN,GD-3,00001487,PUESTO DE SALUD LLACLLIN,I-1,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,SIHUAS,CHINGALPO,GD-5,00001800,PUESTO DE SALUD CHINGALPO,I-1,REGIONAL,SI,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,ABANCAY,CIRCA,GD-4,00002667,CIRCA,I-2,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,ABANCAY,CURAHUASI,GD-4,00002631,ANTILLA,I-2,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,ABANCAY,CURAHUASI,GD-4,00002689,CCOCHUA,I-2,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,ABANCAY,CURAHUASI,GD-4,00002633,CCOLLPA,I-2,REGIONAL,SI,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,ABANCAY,CURAHUASI,GD-4,00002634,CONCACHA,I-2,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,ABANCAY,CURAHUASI,GD-4,00002639,SAN LUIS,I-2,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,ABANCAY,HUANIPACA,GD-4,00002672,TACMARA,I-2,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,ABANCAY,PICHIRHUA,GD-4,00002676,PICHIRHUA,I-2,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,ANDAHUAYLAS,KAQUIABAMBA,GD-5,00004188,KAQUIABAMBA,I-3,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,ANDAHUAYLAS,KISHUARA,GD-5,00004185,MATAPUQUIO,I-3,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,GD-5,00004203,CASCABAMBA,I-2,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,ANDAHUAYLAS,TUMAY HUARACA,GD-5,00004171,UMAMARCA,I-3,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,ANDAHUAYLAS,TURPO,GD-5,00004163,TURPO,I-3,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,AYMARAES,CAPAYA,GD-5,00002567,CHACAPUENTE,I-2,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,AYMARAES,COLCABAMBA,GD-5,00002574,COLCABAMBA,I-2,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,AYMARAES,COTARUSE,GD-4,00002577,PISQUICOCHA,I-2,REGIONAL,SI,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,AYMARAES,SAÑAYCA,GD-4,00002585,SAÑAYCA,I-3,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,AYMARAES,TAPAIRIHUA,GD-5,00002587,SOCCO,I-2,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,AYMARAES,TINTAY,GD-4,00002683,TAQUEBAMBA,I-2,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,AYMARAES,TORAYA,GD-5,00002590,TORAYA,I-3,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,CHINCHEROS,ANCO HUALLO,GD-5,00004138,TOTORABAMBA,I-2,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,CHINCHEROS,COCHARCAS,GD-5,00004142,COCHARCAS,I-3,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,CHINCHEROS,HUACCANA,GD-5,00004149,POMACHUCO,I-3,REGIONAL,SI,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,CHINCHEROS,ONGOY,GD-5,00007159,CALLAPAYOCC,I-2,REGIONAL,SI,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,CHINCHEROS,ONGOY,GD-5,00004150,ONGOY,I-3,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,CHINCHEROS,RANRACANCHA,GD-5,00004143,RANRACANCHA,I-3,REGIONAL,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,COTABAMBAS,HAQUIRA,GD-5,00002619,LLAC-CHUA,I-2,REGIONAL,SI,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,GRAU,PROGRESO,GD-5,00002603,CCONCCACCA,I-2,REGIONAL,SI,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,SANTA ISABEL DE SIGUAS,GD-3,00001378,PUESTO DE SALUD SONDOR,I-2,REGIONAL,NO,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,GD-2,00001366,LA EUGENIA,I-2,REGIONAL,SI,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,CARAVELI,JAQUI,GD-2,00001373,PUESTO DE SALUD JAQUI,I-2,REGIONAL,SI,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,CARAVELI,QUICACHA,GD-4,00001372,PUESTO DE SALUD QUICACHA,I-2,REGIONAL,SI,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,CASTILLA,CHACHAS,GD-5,00001442,PUESTO DE SALUD TOLCONI,I-2,REGIONAL,SI,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,CASTILLA,URACA,GD-2,00001392,PUESTO DE SALUD ESCALERILLAS,I-2,REGIONAL,NO,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,CAYLLOMA,HUAMBO,GD-5,00001433,PUESTO DE SALUD HUAMBO,I-2,REGIONAL,NO,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,CAYLLOMA,LARI,GD-4,00001426,PUESTO DE SALUD LARI,I-2,REGIONAL,NO,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,CAYLLOMA,LLUTA,GD-4,00001255,PUESTO DE SALUD LLUTA,I-2,REGIONAL,SI,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,CAYLLOMA,LLUTA,GD-4,00001256,PUESTO DE SALUD TAYA,I-2,REGIONAL,SI,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,CAYLLOMA,TAPAY,GD-5,00001434,PUESTO DE SALUD TAPAY,I-2,REGIONAL,SI,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,CONDESUYOS,CAYARANI,GD-5,00001440,CENTRO DE SALUD CAYARANI,I-3,REGIONAL,SI,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,CONDESUYOS,RIO GRANDE,GD-3,00001380,IQUIPI,I-3,REGIONAL,NO,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,LA UNION,HUAYNACOTAS,GD-5,00001463,PUESTO DE SALUD HUAYNACOTAS,I-2,REGIONAL,SI,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,LA UNION,PAMPAMARCA,GD-5,00001459,PUESTO DE SALUD HUARHUA,I-2,REGIONAL,SI,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,LA UNION,PAMPAMARCA,GD-5,00001462,PUESTO DE SALUD PAMPAMARCA,I-2,REGIONAL,SI,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,LA UNION,PUYCA,GD-5,00001471,PUESTO DE SALUD CHURCA,I-2,REGIONAL,SI,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,LA UNION,PUYCA,GD-5,00001465,PUESTO DE SALUD PUYCA,I-2,REGIONAL,SI,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,LA UNION,SAYLA,GD-4,00001469,PUESTO DE SALUD SAYLA,I-2,REGIONAL,SI,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,LA UNION,TORO,GD-5,00001458,PUESTO DE SALUD CASPI,I-2,REGIONAL,SI,NO
AREQUIPA,MEDICINA,SEDE CENTRAL,1,AREQUIPA,GOBIERNO REGIONAL,AREQUIPA,LA UNION,TORO,GD-5,00001457,PUESTO DE SALUD TORO,I-2,REGIONAL,SI,NO
AYACUCHO,MEDICINA,SEDE CENTRAL,1,AYACUCHO,GOBIERNO REGIONAL,AYACUCHO,CANGALLO,CHUSCHI,GD-5,00003502,CENTRO DE SALUD CHUSCHI,I-3,REGIONAL,NO,NO
AYACUCHO,MEDICINA,SEDE CENTRAL,1,AYACUCHO,GOBIERNO REGIONAL,AYACUCHO,HUAMANGA,ACOCRO,GD-5,00003546,CENTRO DE SALUD CHONTACA,I-3,REGIONAL,NO,NO
AYACUCHO,MEDICINA,SEDE CENTRAL,1,AYACUCHO,GOBIERNO REGIONAL,AYACUCHO,HUAMANGA,ACOCRO,GD-5,00003544,PUESTO DE SALUD ACOCRO,I-2,REGIONAL,NO,NO
AYACUCHO,MEDICINA,SEDE CENTRAL,1,AYACUCHO,GOBIERNO REGIONAL,AYACUCHO,HUANCA SANCOS,SACSAMARCA,GD-5,00003643,PUESTO DE SALUD SACSAMARCA,I-2,REGIONAL,NO,NO
AYACUCHO,MEDICINA,SEDE CENTRAL,1,AYACUCHO,GOBIERNO REGIONAL,AYACUCHO,HUANTA,IGUAIN,GD-5,00003654,PUESTO DE SALUD IGUAIN,I-2,REGIONAL,NO,NO
AYACUCHO,MEDICINA,SEDE CENTRAL,1,AYACUCHO,GOBIERNO REGIONAL,AYACUCHO,HUANTA,LLOCHEGUA,GD-4,00006752,PUESTO DE SALUD GLORIA SOL NACIENTE,I-2,REGIONAL,NO,SI
AYACUCHO,MEDICINA,SEDE CENTRAL,2,AYACUCHO,GOBIERNO REGIONAL,AYACUCHO,HUANTA,LURICOCHA,GD-4,00003663,CENTRO DE SALUD LURICOCHA,I-3,REGIONAL,NO,NO
AYACUCHO,MEDICINA,SEDE CENTRAL,1,AYACUCHO,GOBIERNO REGIONAL,AYACUCHO,HUANTA,PUCACOLPA,GD-5,00003647,PUESTO DE SALUD HUALLHUA,I-2,REGIONAL,SI,SI
AYACUCHO,MEDICINA,SEDE CENTRAL,1,AYACUCHO,GOBIERNO REGIONAL,AYACUCHO,HUANTA,UCHURACCAY,GD-5,00003656,PUESTO DE SALUD CARHUAHURAN,I-2,REGIONAL,NO,SI
AYACUCHO,MEDICINA,SEDE CENTRAL,1,AYACUCHO,GOBIERNO REGIONAL,AYACUCHO,LA MAR,CHILCAS,GD-5,00003779,CENTRO DE SALUD CHILCAS,I-3,REGIONAL,NO,NO
AYACUCHO,MEDICINA,SEDE CENTRAL,1,AYACUCHO,GOBIERNO REGIONAL,AYACUCHO,LA MAR,CHUNGUI,GD-5,00003783,CENTRO DE SALUD CHUNGUI,I-3,REGIONAL,SI,NO
AYACUCHO,MEDICINA,SEDE CENTRAL,1,AYACUCHO,GOBIERNO REGIONAL,AYACUCHO,LUCANAS,HUAC-HUAS,GD-5,00003677,CENTRO DE SALUD HUAC- HUAS,I-3,REGIONAL,NO,NO
AYACUCHO,MEDICINA,SEDE CENTRAL,1,AYACUCHO,GOBIERNO REGIONAL,AYACUCHO,LUCANAS,LARAMATE,GD-5,00003680,CENTRO DE SALUD LARAMATE LUCANAS,I-3,REGIONAL,NO,NO
AYACUCHO,MEDICINA,SEDE CENTRAL,1,AYACUCHO,GOBIERNO REGIONAL,AYACUCHO,SUCRE,SORAS,GD-5,00003818,CENTRO DE SALUD SORAS,I-3,REGIONAL,NO,NO
AYACUCHO,MEDICINA,SEDE CENTRAL,1,AYACUCHO,GOBIERNO REGIONAL,AYACUCHO,VICTOR FAJARDO,SARHUA,GD-5,00003512,CENTRO DE SALUD SARHUA,I-3,REGIONAL,NO,NO
AYACUCHO,MEDICINA,SEDE CENTRAL,1,AYACUCHO,GOBIERNO REGIONAL,AYACUCHO,VILCAS HUAMAN,CONCEPCION,GD-5,00003852,PUESTO DE SALUD CONCEPCION,I-2,REGIONAL,NO,NO
CAJAMARCA,MEDICINA,SEDE CENTRAL,1,CAJAMARCA,GOBIERNO REGIONAL,CAJAMARCA,CAJABAMBA,CACHACHI,GD-5,00004528,CACHACHI,I-3,REGIONAL,NO,NO
CAJAMARCA,MEDICINA,SEDE CENTRAL,1,CAJAMARCA,GOBIERNO REGIONAL,CAJAMARCA,CAJAMARCA,ASUNCION,GD-4,00004625,ASUNCION,I-2,REGIONAL,NO,NO
CAJAMARCA,MEDICINA,SEDE CENTRAL,1,CAJAMARCA,GOBIERNO REGIONAL,CAJAMARCA,CELENDIN,CORTEGANA,GD-5,00004477,CORTEGANA,I-3,REGIONAL,SI,NO
CAJAMARCA,MEDICINA,SEDE CENTRAL,1,CAJAMARCA,GOBIERNO REGIONAL,CAJAMARCA,CELENDIN,LA LIBERTAD DE PALLAN,GD-5,00004481,LA LIBERTAD DE PALLAN,I-2,REGIONAL,NO,NO
CAJAMARCA,MEDICINA,SEDE CENTRAL,1,CAJAMARCA,GOBIERNO REGIONAL,CAJAMARCA,CHOTA,ANGUIA,GD-5,00004750,ANGUIA,I-3,REGIONAL,NO,NO
CAJAMARCA,MEDICINA,SEDE CENTRAL,1,CAJAMARCA,GOBIERNO REGIONAL,CAJAMARCA,CHOTA,CONCHAN,GD-4,00004759,CONCHAN,I-3,REGIONAL,NO,NO
CAJAMARCA,MEDICINA,SEDE CENTRAL,1,CAJAMARCA,GOBIERNO REGIONAL,CAJAMARCA,CONTUMAZA,GUZMANGO,GD-5,00004554,TOTORILLAS,I-2,REGIONAL,NO,NO
CAJAMARCA,MEDICINA,SEDE CENTRAL,1,CAJAMARCA,GOBIERNO REGIONAL,CAJAMARCA,CUTERVO,CUJILLO,GD-5,00005026,EL PAGO,I-1,REGIONAL,NO,NO
